"Siempre la fortuna es propicia a los fuertes"|2,5|Terencio, dramaturgo romano
"El mal pago añade mérito a las buenas acciones."|3,5|Jacinto Benavente. Dramaturgo y director de cine español
"La ira se acerca con paso muy lento a la venganza..." (Primera parte)|1,5|Máximo Valerio. Escritor romano
"... pero la dureza del castigo compensa su tardanza" (Conclusión)|3,6|MÁXIMO VALERIO  ESCRITOR ROMANO
"El carácter es la virtud de los tiempos difíciles"|3,5|Charles de Gaulle. Militar, político y escritor francés
"El orgullo es flor que crece en el jardín del diablo."|2,5|Proverbio inglés
"El amor de la mujer no se sabe cuando es cierto"|1,5|Francisco Rojas Zorrilla,  comediógrafo español
"El tango es un pensamiento triste que se baila"|2,5|Enrique Santos Discépolo. Músico, dramaturgo y cineasta argentino
"El oro ha muerto más almas que el hierro cuerpos"|3,7|WALTER  SCOTT  NOVELISTA Y POETA ESCOCÉS
"Los libros son los consejeros que más me agradan..." (Primera parte)|1,4|ALFONSO  REY DE ARAGÓN
"... pues nada les impide que me digan lo que debo hacer." (Conclusión)|3,6|ALFONSO  REY DE ARAGÓN
"La reparación es una antorcha que cae en el agua"|2,5|CONCEPCIÓN ARENAL  PENSADORA ESPAÑOLA
"La humildad es a menudo un artificio del orgullo"|3,5|Francisco de la Rochefoucauld. autor y moralista francés
"De males a bienes dicen que se pasa fácilmente pero" (Primera parte)|1,4|Pedro Calderón de la Barca, dramaturgo y poeta español
"...de males a males, paréceme a mi que es más frecuente" (Conclusión)|2,6|Pedro Calderón de la Barca. Dramaturgo y poeta español
"Si es honra combatir, no es menos el saber huir"|3,7|Cristóbal del Castillejo, poeta español
"Es casi un dios el que siempre obra con la razón"|2,5|Claudiano. Poeta romano
"Sólo consiste en obrar como caballero, el serlo"|1,5|Juan Ruiz de Alarcón. Escritor y dramaturgo mexicano
"Más ignorante es uno, más se impacienta en juzgar."|2,5|Etienne Condillac. Filósofo francés
"Casi nadie repara por sí mismo en el mérito de otro."|3,6|JEAN DE LA BRUYÈRE  ENSAYISTA Y MORALISTA FRANCÉS
"No hay nada más poético ni más grandioso que el amor..." (Primera parte)|1,4|Severo Catalina.  Escritor español
"... de dos personas que nunca han hablado de amor" (Conclusión)|3,6|SEVERO CATALINA  ESCRITOR ESPAÑOL
"La fe tiende un puente desde este mundo al otro"|2,5|Eduard Young. Poeta inglés
"Busca dentro de ti la solución de tus problemas."|4,7|Amado Nervo.  Poeta, novelista y ensayista mexicano
"Una injusticia hecha a uno es una amenaza a todos."|1,4|CARLOS LUIS DE MONTESQUIEU  ESCRITOR Y JURISTA FRANCÉS
"Aún libre, un pueblo ignorante es siempre esclavo" (Conclusión)|2,5|Nicolás Condorcet  filósofo, matemático y político francés
"Los más tristes no osan llorar tanto como los demás"|3,5|JEAN RACINE  DRAMATURGO FRANCÉS
"Sólo podemos alcanzar el bien de la alegría si..." (Primera parte)|1,6|Siul Arco
"Todo nuestro mal procede de no poder estar solos"|2,5|Jean de La Bruyère, ensayista y moralista francés.
"El error tiene su lógica, lo mismo que la verdad."|3,5|JORGE PLEJANOV  REVOLUCIONARIO RUSO
"He observado constantemente que para prosperar..." (Primera parte)|1,6|Carlos Luis de Montesquieu , escritor y jurista francés
"... en el mundo hay que tener aire de tonto, sin serlo" (Conclusión)|3,5|CARLOS LUIS DE MONTESQUIEU  ESCRITOR Y JURISTA FRANCÉS
"La vejez pone más arrugas en el alma que en la cara"|2,5|MIGUEL E. DE MONTAIGNE  ESCRITOR FRANCÉS
"El caer no ha de quitarnos la gloria de haber subido"|3,6|Pedro Calderón de la Barca, dramaturgo y poeta español
"La mujer es al dinero lo que el imán es al hierro"|3,5|Manuel Casas, profesor y filósofo argentino
"La pompa de los entierros es más bien para halagar..." (Primera parte)|1,5|Francisco de la Rochefoucauld. autor y moralista francés
"la vanidad de los vivos que para honrar al muerto" (Conclusión)|3,7|Francisco de la Rochefoucauld. autor y moralista francés
"El refugio más seguro es el regazo de una madre"|1,5|Jean Pierre Claris de Florian  escritor francés
"Busca dentro de ti la solución de tus problemas."|4,7|Amado Nervo.  Poeta, novelista y ensayista mexicano
"La honradez es ensalzada, pero se muere de hambre."|3,5|Proverbio latino
"Los médicos envían a los enfermos a los balnearios" (Primera parte)|1,5|SANTIAGO RUSIÑOL Y PRATS  PINTOR Y ESCRITOR ESPAÑOL
"Los médicos envían a los enfermos a los balnearios, ..." (Primera parte)|1,5|Santiago Rusiñol y Prats  pintor y escritor español
"Las culpas de la casa ajena todos las creemos"|2,5|Francisco de Quevedo y Villegas  escritor español
"Es tan difícil decir la verdad como ocultarla."|3,6|Baltasar Gracián. Autor de obras didácticas español
"En el matrimonio es mejor conocerse que amarse."|1,6|Pablo Hervieu  intelectual francés
"Donde está la virtud, difícilmente está el éxito."|3,5|Alfonso de Lamartine  escritor, poeta y político francés
"Siéntate en tu sitio y nadie te hará levantar de él"|2,6|George Herbert , egiptólogo británico
"La bravura de la que muchos hacen alarde es un hábil..." (Primera parte)|1,5|Honorato de Balzac. Escritor francés
"... cálculo sobre el miedo que domina a los otros" (Conclusión)|2,5|Honorato de Balzac  escritor francés
" El hombre que sabe no habla; el que habla, no sabe."|1,4|Ming Lao-Tsé  filósofo chino
"Es la más alta victoria vencer la propia pasión."|2,5|Juan Ruiz de Alarcón  escritor y dramaturgo mexicano
"Los inteligentes deliberan, los necios deciden."|3,5|Anacarsis  príncipe y sabio escita
"Todos los sueños son posibles si los cuida el amor."|3,6|Ignacio Anzoátegui  escritor argentino
"El soberbio no se conoce a sí mismo ni conoce a nadie."|2,5|Raimundo Lulio  filósofo y escritor mallorquín
"Prefiero que el pueblo se ría de mis economías" (Primera parte)|1,5|Luis XII  rey de Francia
"... a que llore sin consuelo por mi prodigalidad ." (Conclusión)|2,5|Luis XII  rey de Francia
"Las cosas no son como se ven. Las vemos como somos."|3,6|Hilario Ascasubi, poeta argentino
"Los fantasmas dan más miedo de lejos que de cerca."|4,7|Nicolás Maquiavelo  filósofo italiano
"Emplear demasiado tiempo en el estudio, es pereza."|1,5|Francis Bacon  pintor británico
"Progresar es marchar hacia el perfeccionamiento."|2,5|Jaime Balmes  filósofo y teólogo catalán
"El que se conforma con su pobre suerte, es rico."|3,6|Refrán castellano
"Poco bueno habrá hecho en su vida todo aquel que..." (Primera parte)|1,6|Jacinto Benavente. Dramaturgo y director de cine español
"... no haya conocido la amargura de la ingratitud" (Conclusión)|2,5|Jacinto Benavente  dramaturgo y director de cine español
"El olvido, ese viejo remedio de la miseria humana"|1,3|ALFREDO DE MUSSET  POETA ROMÁNTICO FRANCÉS
"Los sabios no lloran ni a los vivos ni a los muertos."|3,6|Bhagavad-Gita  texto religioso hindú
"Mentir, llorar, coser, son los dones de Dios a la mujer."|1,4|Proverbio latino medieval
"Donde falta la destreza, supla la diligencia."|4,7|San Agustín  obispo de Hipona
"El asombro es el móvil de cada descubrimiento"|2,5|Carlo Pavese  escritor italiano
"La maldad calculada es siempre la más acerba."|1,5|Oliver Cromwell  político y militar inglés
"Consejos no pedidos son desaciertos pesados."|2,4|Lope de Vega  poeta, novelista y dramaturgo español
" Una murmuración malévola camina sobre ruedas."|2,6|Ouida  novelista inglesa
"Aprovecha bien el tiempo, no juegues con la suerte, ..." (Primera parte)|1,5|Sir John Davies  explorador inglés
"que la vejez viene presto y con la vejez la muerte" (Conclusión)|3,7|SIR JOHN DAVIES  EXPLORADOR INGLÉS
"La edad que se querría tener arruina la que se tiene"|1,5|D. D´Arc
"El celoso siempre es un mártir que martiriza."|3,6|Condesa Diana  escritora francesa
"Casi todos los hombres ganan al ser conocidos." (Conclusión)|1,5|Francisco Mauriac. Novelista francés
"Los necios inscriben su nombre en todas partes."|3,6|Proverbio latino
"El soberbio parece que admira sus propias cosas"|2,6|SANTO TOMÁS DE AQUINO  FILÓSOFO Y TEÓLOGO ITALIANO
"La necesidad de morir proporciona al hombre sabio" (Primera parte)|1,5|JUAN JACOBO ROUSSEAU  FILÓSOFO, MÚSICO Y ESCRITOR FRANCÉS
"... una razón para poder soportar las penas de la vida" (Conclusión)|3,6|Juan Jacobo Rousseau  filósofo, músico y escritor francés
"Nunca eres la misma, pero yo las quiero a todas."|2,5|José Narosky  escritor argentino
"Un hombre sin carácter es un soldado sin armas."|4,7|Luis Augusto Pétiet  general francés
"Si su amor fue comedia, su matrimonio será drama."|1,5|Manuel del Palacio  periodista y poeta español
"Por el camino de en medio irás siempre más seguro."|3,5|Ovidio  poeta romano
"Nadie se siente solo si tiene un recuerdo dichoso"|2,5|Anónimo
"La cultura es la llave maestra que abre las puertas..." (Primera parte)|1,4|General José de San Martín  militar y prócer argentino
"... de la abundancia y hace felices a los pueblos" (Conclusión)|3,6|General José de San Martín  militar y prócer argentino
"Torpe es ignorar lo que a todos conviene saber."|3,6|Aristóteles  filósofo y científico griego
"La discreción vale mucho más que la elocuencia."|2,5|Francis Bacon  pintor británico
"Mientras la mujer llora estudia nuevos engaños."|1,4|Proverbio medieval
"Para los venturosos la vida entera es harto breve."|1,6|Luciano  escritor griego
"El hombre es el más encarnizado enemigo del hombre."|3,5|J. G. Fichte  filósofo alemán
" Siempre es más fácil dejar de hacer que hacer."|2,5|José Ortega y Gasset  filósofo y ensayista español
"Cumple bien tu parte, en ello el honor descansa"|1,5|ALEXANDER POPE  POETA INGLÉS
"La experiencia es un sabio hecho a trompicones"|3,5|Ramón de Campoamor  poeta romántico español
"Para saber ser grande, hay que haber sido pequeño"|2,4|Canción de Rolland  poema épico francés
"El que vive esclavo es porque ha nacido para serlo."|1,5|J. de Lagrange-Chancel  operista y músico francés
"Temo más a tres periódicos que a cien mil bayonetas."|3,5|Napoleón Bonaparte  militar y gobernante francés
"Los libros son amigos que nunca decepcionan."|4,7|Thomas Carlyle  ensayista e historiador escocés
"El arte del comerciante consiste en llevar una…" (Primera parte)|1,6|Ralph W. Emerson  ensayista y poeta estadounidense
"… cosa del sitio donde abunda a donde se paga cara" (Conclusión)|2,6|Ralph W. Emerson  ensayista y poeta estadounidense
"El placer que se saca de la venganza es efímero."|1,4|Enrique IV  rey de Francia
"Cada uno debe soportar pacientemente su suerte."|3,5|Marco Manilio. Poeta latino
"Ser amado y traicionar es el más vil de los delitos."|1,5|Pablo Mantegazza. Antropólogo y escritor italiano
"Los amores mueren de hastío, el olvido los entierra."|2,5|A. de Latour-Chambly  escritor francés
"El secreto es el alma de las grandes empresas."|3,7|Proverbio chino
"Tratar a los demás como ellos son, puede ser grave…" (Primera parte)|1,4|Antonio Roldán  poeta lucentino
"Cuanto más pequeño es el corazón, más odio alberga."|3,5|Víctor Hugo  poeta, novelista y dramaturgo francés
"El duelo sólo aprovecha al médico y al sepulturero."|2,4|Eduard René Laboulaye. Jurista y político francés
"Nuestra felicidad proviene siempre de otros."|2,5|Condesa Diana  escritora francesa
"Quien siempre en todo calla, en todo tiene paz"|1,6|CRISTIAN  HELMAN
"Nuestra felicidad proviene siempre de otros"|2,5|CRISTIAN  HELMAN
"A veces la mentira es el más santo de los deberes"|3,6|CRISTIAN  HELMAN
"El melancólico verá una escena trágica donde el"|1,4|CRISTIAN  HELMAN
"La inspiración tiene que encontrarte trabajando."|3,6|Pablo Ruiz Picasso  pintor y escultor español
"La inspiración tiene que encontrarte trabajando"|3,6|CRISTIAN  HELMAN
"Es preferible desgastarse que enmohecerse."|2,5|RICHARD CUMBERLAND  OBISPO PROTESTANTE
"Las palabras de los pobres son pobres también"|1,5|Proverbio griego
"Cualquiera vale para enemigo, no así para amigo."|3,7|Baltasar Gracián  autor de obras didácticas español
"El lujo bien llevado es lo contrario de lo vulgar."|2,5|Cocó Chanel  diseñadora de modas y perfumista francesa
"La civilización es una terrible planta que no vive…" (Primera parte)|1,5|Arturo Graf  poeta y literato italiano
"… ni florece si no está regada con lágrimas y sangre." (Conclusión)|2,5|Arturo Graf  poeta y literato italiano
"Es fácil errar el tiro, difícil dar en el blanco."|1,5|Aristóteles. filósofo y científico griego
"El mentiroso es siempre pródigo en juramentos."|3,5|Pierre Corneille. Dramaturgo francés
"El mentiroso es siempre pródigo en juramentos"|3,5|CRISTIAN  HELMAN
"En el matrimonio es preciso contar con cualidades…" (Primera parte)|1,5|Mariano José de Larra  escritor y periodista español
"… que resistan; las grandes pasiones pasan pronto" (Segunda parte)|2,5|Mariano José de Larra  escritor y periodista español
"En lo necesario, unidad; en lo dudoso, libertad."|3,7|San Agustín. Filósofo y teólogo latino
"El amor es inevitable, como el pecado original"|2,4|CRISTIAN  HELMAN
"¿Qué soledad más solitaria que la desconfianza?"|1,6|CRISTIAN  HELMAN
"Matrimonio bien avenido, la mujer junto al marido"|3,5|CRISTIAN  HELMAN
"Un historiador es un profeta en retrospectiva."|2,6|Friedrich von Schlegel filósofo y poeta alemán
"Un historiador es un profeta en retrospectiva"|2,6|Friedrich von Schlegel
"Los vecinos que uno nunca ve de cerca, son perfectos."|3,7|Aldous Huxley  novelista, ensayista, poeta y crítico inglés
"Los malos comienzan por no tener conciencia"|3,5|CRISTIAN  HELMAN
"Todos los esfuerzos de la violencia no pueden" (Primera parte)|1,5|BLAS PASCAL  MATEMÁTICO, FILÓSOFO Y TEÓLOGO FRANCÉS
"debilitar la verdad: sólo sirven para elevarla"|3,6|CRISTIAN  HELMAN
"Hablar sin meditar es como disparar sin apuntar."|2,5|George Herbert  egiptólogo británico
"Con orden se encuentra el secreto de hacerlo todo"|3,5|PITÁGORAS  FILÓSOFO Y MATEMÁTICO GRIEGO
"Los libros son compañeros dulces para el que sufre"|1,5|Oliver Goldsmith
"El que toma prestado, siervo es del que presta"|3,6|Joseph Cook
"Nunca te encargues de llevar una mala noticia."|2,5|Mme. de Puissieux
"El hombre es el verdadero creador de su destino" (Primera parte)|1,5|Gustavo Le Bon
"si no está convencido de ello, no es nada en la vida" (Conclusión)|3,5|Gustavo Le Bon
"Los hombres son menos sensibles al bien que al mal"|2,5|Tito Livio
"Saber escoger el tiempo, es saber ahorrar el tiempo"|2,5|Francis Bacon
"No aceptes como verdadera una cosa si no lo es"|1,5|René Descartes
"El castigo por las leyes camina con paso lento"|3,5|Juan Bautista Diamante
"La adulación en un amigo es una cosa monstruosa"|3,6|Henry Ford
"Mira bien en derredor tuyo, reflexiona y no tengas…" (Primera parte)|2,5|dramaturgo griego
"nunca la arrogancia como mejor que la prudencia" (Conclusión)|1,5|Esquilo
"Es fácil ser valiente a una distancia de seguridad"|3,5|Esopo
"No quemes tus dedos para apagar la vela ajena"|2,5|Edmund Burke
"Ningún placer pareciera durar lo suficiente"|1,6|Sexto Propercio
"La vejez es el tiempo de practicar la sabiduría"|2,5|Juan Jacobo Rousseau
"En los celos hay siempre más amor propio que amor"|3,6|Francisco de La Rochefoucauld
"El placer de la venganza dura tan solo un instante" (Primera parte)|1,5|Fernando de Rojas
"pero la satisfacción de un beneficio dura siempre"|3,6|Fernando de Rojas
"El hombre es un aprendiz; y el dolor, su maestro"|2,5|Alfredo de Musset
"La mitad del mundo no comprende a la otra mitad"|4,7|Jane Austen
"El depositario del poder siempre es impopular"|1,5|Benjamín Disraeli
"Al llegar a viejo, la costumbre se vuelve tiranía"|2,5|Gustavo Flaubert
"No se puede multiplicar la riqueza dividiéndola"|2,6|Dr. Adrian Rogers
"No se puede multiplicar la riqueza dividiéndola"|1,5|Papa Sixto V
"cuyo marido nunca se hubiese quejado de ella" (Conclusión)|2,6|Papa Sixto V
"cuyo marido nunca se hubiese quejado de ella" (Conclusión)|2,6|Sixto V
"El buen humor es signo de conciencia tranquila"|1,6|de Francisco Sansovino
"La frontera es un delito contra las leyes de Dios"|3,5|Leopoldo Cano
"Lo que no es posible evitar, tenemos que aceptarlo"|2,6|William Shakespeare
"El peligro llega más pronto cuando es despreciado"|3,5|Publilio Siro
"Irritarse por una injuria es casi reconocer" (Primera parte)|1,5|Publio Cornelio Tácito
"que se merece; al despreciarla, queda sin valor"|3,6|Publio Cornelio Tácito
"El corazón es un tejido que se rasga fácilmente"|2,6|Alejandro Dumas
"No puede mucho ganar ninguno sin que otro pierda"|3,5|Alonso de Varros
"El que una injuria sea verdad, no la hace tolerable"|1,6|Hermann Keyserling
"El tiempo es justiciero y pone cada cosa en su lugar."|2,4|Voltaire. Escritor y filósofo francés
"Todo cuanto se hace, se hace por una esperanza."|2,7|Martín Lutero. Teólogo y reformador religioso alemán
"El hombre busca a veces en los libros la verdad; ..." (Primera parte)|1,4|EDMUND Y JULES HOUT DE GONCOURT  DOS HERMANOS ESCRITORES FRANCESES
"… la mujer sólo busca siempre en ellos ilusiones" (Conclusión)|2,6|Edmund y Jules Hout de Goncourt  dos hermanos escritores franceses
"Buda es un dios que no hizo régimen en las comidas."|3,6|Ramón Gómez de la Serna  escritor vanguardista español
"A un gran amor lo pueden destruir disputas ociosas."|1,4|Max Frisch  arquitecto y escritor suizo
"Que la palabra no se adelante al pensamiento"|2,6|PÍTACO  GENERAL GRIEGO
"Multitud: reunión de cabezas y ningún cerebro"|3,5|NOEL CLARASÓ  ESCRITOR ESPAÑOL
"Piensa cuanto más dolorosos son los resultados" (Primera parte)|1,5|MARCO AURELIO  EMPERADOR ROMANO Y FILÓSOFO ESTOICO
"de tu ira, que las acciones que la han ocasionado" (Conclusión)|2,6|Marco Aurelio
"Nunca se desconfía bastante de las palabras."|1,5|Louis Ferdinand Celine. Escritor francés
"Nadie está obligado a hacer más de lo que puede"|2,5|EL JOVEN CELSO  FILÓSOFO GRIEGO
"La gente llama destino a sus propias tonterías"|3,7|TITO LIVIO HISTORIADOR ROMANO
"Aquellos que se alaban a sí mismos delante de los…"|1,6|ESOPO FABULISTA GRIEGO
"… que les conocen, se prestan con justicia a la burla" (Conclusión)|2,6|Esopo fabulista griego
"El público y el artista no se ven con los mismos ojos."|3,5|Juan Alejandro José Falguière. Escultor y pintor francés
"En casa de mujer rica, ella ordena y ella grita"|2,6|Refrán castellano
"Las malas lenguas no tienen fin para inventar."|1,4|Federico García Lorca. Poeta y dramaturgo español
"El más desgraciado de todos es el que cree serlo"|3,6|FÉNÉLON  OBISPO Y ESCRITOR FRANCÉS
"Un hombre de experiencia sabe más que un adivino"|3,5|FEDRO  POETA Y FABULISTA LATINO
"Los abogados están siempre más dispuestos a poner..." (Primera parte)|1,5|OLIVER GOLDSMITH  ESCRITOR Y MÉDICO IRLANDÉS
"… a un hombre en dificultades que a sacarlo de ellas" (Conclusión)|2,6|Oliver Goldsmith. Escritor y médico irlandés
"Tenemos más pereza en el alma que en el cuerpo."|3,6|Francisco de La Rochefoucauld. Autor y moralista francés
"No pidas crítica si sólo deseas oír alabanzas."|2,5|Manuel del Palacio. Periodista y poeta satírico español
"Los rostros bellos pueden ocultar almas viles."|1,5|BEN JOHNSON  ATLETA CANADIENSE
"En caso de duda, es mejor decir poco que demasiado."|3,5|Tomas Jefferson  político y filósofo estadounidense
"Las pasiones de los jóvenes son vicios en la vejez."|2,6|Joseph Joubert. Moralista francés
"Sé dadivoso antes que la riqueza te haga codicioso"|1,5|SIR THOMAS BROWNE  MÉDICO Y ENSAYISTA INGLÉS
"Si puedes, enriquécete conservando el honor"|2,6|EPICTETO  PENSADOR GRIEGO
"Los dioses responden más al temor que al deseo."|3,5|Esquilo. Dramaturgo griego
"La compostura del hombre es la fachada del alma."|1,5|Baltasar Gracián. Autor de obras didácticas español
"Tengo la pretensión de no agradar a todo el mundo."|4,7|Sacha Guitry  actor, director y guionista de cine ruso
"La sociedad es una turba de fugitivos de sí mismos."|2,6|Anna Teresa de Lambert. Escritora y moralista francesa
"La pobreza no viene por la disminución de las…" (Primera parte)|1,5|Platón.  Filósofo griego
"… riquezas, sino por la multiplicación de los deseos" (Conclusión)|2,5|PLATÓN  FILÓSOFO GRIEGO
"El amor es muy tímido, pero sólo cuando es nuevo."|3,5|LORD BYRON  POETA INGLÉS
"La quinta rueda del carro molesta más que ayuda."|3,7|Refrán francés
